order_id,order_date,region,category,customer_segment,sales,profit,quantity
10001,2024-03-22,North,Furniture,Corporate,323.24,68.61,1
10002,2024-01-15,West,Furniture,Consumer,433.66,,1
10003,2024-01-04,East,Furniture,Consumer,111.42,-10.59,2
10004,2024-02-05,North,Furniture,Consumer,330.53,58.45,1
10005,2024-02-01,North,Furniture,Home Office,156.96,39.32,2
10006,2024-01-29,North,Office Supplies,Home Office,104.27,14.84,5
10007,2024-01-18,South,Office Supplies,Home Office,12.45,1.68,3
10008,2024-01-14,East,Office Supplies,Corporate,98.49,32.33,3
10009,2024-03-27,West,Electronics,Corporate,245.46,27.71,1
10010,2024-03-10,East,Office Supplies,Home Office,38.24,13.09,1
10011,2024-01-12,North,Furniture,Home Office,233.02,30.33,1
10012,2024-03-16,East,Electronics,Corporate,1177.16,134.95,1
10013,2024-02-24,East,Office Supplies,Home Office,11.31,2.84,2
10014,2024-01-05,South,Electronics,Corporate,3273.86,404.51,3
10015,2024-01-04,North,Electronics,Corporate,10.33,1.57,2
10016,2024-01-12,South,Office Supplies,Consumer,19.1,6.94,1
10017,2024-01-28,West,Furniture,Consumer,659.53,158.1,3
10018,2024-01-30,North,Office Supplies,Corporate,5.71,-0.19,1
10019,2024-03-05,North,Electronics,Corporate,329.93,72.53,1
10020,2024-03-18,South,Furniture,Corporate,709.72,135.26,2
10021,2024-01-04,North,Electronics,Home Office,244.05,58.76,1
10022,2024-03-12,West,Furniture,Home Office,384.78,102.83,1
10023,2024-01-26,South,Electronics,Home Office,607.33,136.94,2
10024,2024-03-24,West,Electronics,Home Office,281.41,19.36,9
10025,2024-03-30,West,Office Supplies,Corporate,11.78,,2
10026,2024-03-10,East,Office Supplies,Corporate,59.13,15.07,3
10027,2024-02-23,West,Furniture,Consumer,201.59,23.07,2
10028,2024-01-29,East,Electronics,Home Office,50.31,2.66,4
10029,2024-02-27,South,Office Supplies,Consumer,23.37,6.65,3
10030,2024-03-16,East,Electronics,Home Office,214.11,-19.7,1
10031,2024-02-05,South,Furniture,Home Office,781.04,-18.14,4
10032,2024-01-01,East,Office Supplies,Home Office,29.69,9.65,7
10033,2024-01-21,West,Electronics,Home Office,155.45,10.98,2
10034,2024-03-30,West,offiCE SUPPLIES,Consumer,15.4,5.93,2
10035,2024-02-24,North,Office Supplies,Corporate,41.98,9.76,4
10036,2024-02-13,North,Electronics,Consumer,829.11,177.74,1
10037,2024-02-05,East,Furniture,Home Office,1221.72,247.82,4
10038,2024-01-20,North,Furniture,Home Office,173.51,38.66,1
10039,2024-01-28,North,Furniture,Corporate,343.98,30.78,1
10040,2024-02-13,South,Furniture,Home Office,776.53,161.94,2
10041,2024-01-14,South,Office Supplies,Home Office,10.17,2.1,1
10042,2024-01-12,North,Office Supplies,Corporate,34.08,7.68,6
10043,2024-02-18,East,Furniture,Home Office,59.71,9.78,1
10044,2024-01-13,East,Electronics,Consumer,7841.74,594.65,8
10045,2024-02-15,South,Office Supplies,Home Office,108.91,28.92,3
10046,2024-02-14,South,Office Supplies,Home Office,10.2,2.09,2
10047,2024-03-18,West,Electronics,Consumer,305.32,45.32,4
10048,2024-02-03,South,Office Supplies,Consumer,6.28,0.91,1
10049,2024-01-06,West,Office Supplies,Consumer,13.38,2.46,2
10050,2024-02-28,East,Furniture,Consumer,175.93,38.38,1
10051,2024-03-09,East,Electronics,Consumer,241.87,30.01,1
10052,2024-01-16,South,Furniture,Consumer,209.48,41.3,4
10053,2024-02-18,North,Electronics,Home Office,84.53,14.26,1
10054,2024-01-11,West,Office Supplies,Home Office,8.36,2.46,2
10055,2024-03-11,North,Office Supplies,Home Office,13.99,2.13,2
10056,2024-02-07,South,Furniture,Consumer,929.43,211.07,3
10057,2024-03-21,South,Office Supplies,Corporate,33.32,6.22,3
10058,2024-03-20,North,Office Supplies,Corporate,14.91,2.93,1
10059,2024-02-16,East,Electronics,Corporate,1038.52,246.82,4
10060,2024-03-14,South,Furniture,Home Office,99.64,11.57,1
10061,2024-01-25,North,Office Supplies,Consumer,26.57,5.06,1
10062,2024-03-31,West,Office Supplies,Consumer,23.9,8.08,4
10063,2024-01-09,North,Office Supplies,Home Office,14.84,4.88,1
10064,2024-01-06,North,Furniture,Corporate,41.46,9.9,1
10065,2024-03-25,East,Furniture,Consumer,823.4,237.47,2
10066,2024-01-30,West,Office Supplies,Corporate,46.24,10.51,5
10067,2024-02-07,South,Electronics,Corporate,76.04,17.03,1
10068,2024-01-11,South,office supplies,Home Office,61.88,14.58,5
10069,2024-01-30,North,Office Supplies,Consumer,69.81,10.71,3
10070,2024-01-13,West,Office Supplies,Consumer,17.0,2.77,1
10071,2024-02-18,West,Electronics,Home Office,388.15,50.52,2
10072,2024-02-05,North,Electronics,Corporate,98.74,19.08,2
10073,2024-02-28,North,Office Supplies,Consumer,17.09,,3
10074,2024-03-22,South,Electronics,Corporate,1158.53,-45.3,1
10075,2024-02-16,South,Office Supplies,Corporate,44.97,,4
10076,2024-01-21,West,Furniture,Home Office,73.42,13.75,1
10077,2024-02-17,East,Furniture,Consumer,71.75,21.28,1
10078,2024-02-15,North,Furniture,Home Office,301.92,67.42,1
10079,2024-01-27,North,Electronics,Home Office,765.76,102.42,2
10080,2024-03-26,North,Office Supplies,Corporate,106.64,25.89,5
10081,2024-02-04,East,Office Supplies,Home Office,16.68,5.53,2
10082,2024-03-30,North,Furniture,Corporate,1369.74,218.36,3
10083,2024-03-28,West,Furniture,Home Office,326.83,42.05,6
10084,2024-03-23,South,Electronics,Home Office,128.82,14.1,1
10085,2024-01-10,West,Electronics,Home Office,75.78,7.28,1
10086,2024-03-18,South,Furniture,Corporate,635.39,174.68,2
10087,2024-03-22,North,Office Supplies,Home Office,77.81,30.75,7
10088,2024-01-22,North,Office Supplies,Consumer,9.38,3.72,3
10089,2024-03-09,West,Electronics,Home Office,968.05,80.74,3
10090,2024-02-01,East,Office Supplies,Consumer,25.59,5.25,2
10091,2024-01-21,South,Office Supplies,Corporate,26.27,6.86,4
10092,2024-02-29,South,Office Supplies,Consumer,64.51,16.05,8
10093,2024-02-18,East,Electronics,Consumer,671.21,109.51,2
10094,2024-02-04,North,Electronics,Home Office,464.26,-58.32,5
10095,2024-03-22,North,Furniture,Corporate,243.15,52.45,1
10096,2024-03-29,East,Office Supplies,Consumer,86.23,26.42,6
